,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
106,RA Tripathi,7.7232142857142865,3.1090909090909093,0.1071428571428571,0.6904761904761907,0.0,0.0,2.3099999999999996,11.629924242424245,-314.53499999999997,Batsman
107,CA Pujara,3.8977272727272725,1.0,0.0,0.4242424242424243,0.0,0.0,0.0,5.321969696969697,-317.0,Batsman
108,Azhar Mahmood,4.178571428571429,2.237942122186496,0.0,0.2857142857142856,1.2608695652173914,0.5612903225806452,3.216195652173913,6.70222783647221,-309.44246669004207,AllRounder
109,CA Lynn,9.25,3.384615384615384,0.45833333333333337,0.5277777777777777,0.0,0.0,0.0,13.620726495726494,-316.0,Batsman
110,DB Ravi Teja,2.875,1.7692307692307678,0.0,0.1333333333333333,0.04,0.01935483870967742,2.8699999999999997,4.777564102564101,-310.6059677419355,Batsman
111,DJ Hooda,1.9125000000000008,2.7328519855595688,0.0,0.0,0.2,0.11612903225806452,3.1374626865671633,4.64535198555957,-308.81961242176214,Bowler
112,S Sohal,4.1499999999999995,1.9163987138263656,0.0,0.2333333333333333,0.0,0.0,0.0,6.299732047159698,-313.0,Batsman
113,P Negi,1.8146551724137925,2.214788732394365,0.0,0.0,0.8333333333333334,0.5806451612903226,3.2485915492957744,4.029443904808158,-306.00614493412087,Bowler
114,R Bhatia,1.0,1.8965517241379302,0.0,0.0,0.7802197802197802,1.3741935483870968,3.2680854906682724,2.89655172413793,-304.86625177108726,Bowler
115,Gurkeerat Singh,2.59375,2.1071428571428577,0.0,0.16666666666666666,0.20833333333333331,0.09677419354838711,3.339512195121951,4.867559523809525,-306.5330704169945,Bowler
116,P Kumar,1.0,1.2631578947368425,0.0,0.0,0.7563025210084033,1.7419354838709677,3.2331399317406135,2.2631578947368425,-303.40293309507,Bowler
117,A Mishra,1.0,1.0,0.0,0.0,1.0634920634920637,2.5935483870967744,3.2893784683684792,2.0,-301.58037162156404,Bowler
118,AP Tare,1.9583333333333333,1.9473684210526323,0.0,0.1604938271604938,0.0,0.0,0.0,4.066195581546459,-311.0,Batsman
119,JEC Franklin,4.9140625,1.2912621359223302,0.0,0.1875,0.5625,0.17419354838709677,3.000967741935483,6.39282463592233,-304.39350806451614,Batsman
120,RN ten Doeschate,3.071428571428572,2.848739495798321,0.0,0.0793650793650793,0.09523809523809523,0.03870967741935484,3.40301204819277,5.999533146591972,-303.6945602687247,Batsman
121,Ishan Kishan,5.225,2.254901960784314,0.0,0.4222222222222222,0.0,0.0,0.0,7.902124183006537,-308.0,Batsman
122,KV Sharma,1.0,1.5614035087719293,0.0,0.0,0.8909090909090909,0.9483870967741936,3.1953728489483746,2.5614035087719293,-300.4479964450525,Bowler
123,BA Stokes,8.022727272727273,2.9603524229074893,0.18181818181818177,0.3333333333333333,1.0,0.23225806451612904,3.326277372262773,11.498231210786278,-300.16219684483167,AllRounder
124,R Vinay Kumar,1.0,1.3333333333333344,0.0,0.0,1.0098039215686274,1.9935483870967743,3.094803331790837,2.3333333333333344,-297.85276653931567,Bowler
125,DB Das,2.4318181818181817,1.6928838951310865,0.0,0.015151515151515138,0.0,0.0,0.0,4.139853592100783,-306.0,Batsman
126,LA Pomersbach,4.328125,2.0159362549800797,0.0,0.1875,0.0,0.0,0.0,6.53156125498008,-305.0,Batsman
127,UBT Chand,2.875,1.0,0.0,0.20000000000000004,0.0,0.0,0.0,4.075,-304.0,Batsman
128,DJG Sammy,2.78125,1.8764940239043824,0.0,0.0,0.55,0.21290322580645163,3.001967213114754,4.657744023904383,-297.3526943416182,Bowler
129,Y Nagar,2.59375,1.2583025830258294,0.0,0.0,0.2,0.07741935483870968,2.6424999999999996,3.8520525830258294,-297.62012096774197,Bowler
